Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,newlab.id
Waktu Laporan Dibuat:,19/05/2023 08:47
Periode:,01/02/2023 - 28/02/2023
ID Toko:,3714573

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
11,TEH DIET DETOKS | NEWLAB Slimlogy Tea Drink | Suplemen pelangsing herbal | Makanan diet,Berjalan,6131697514,Iklan Pencarian Produk,Semua,07/03/2021 23:00,Tidak Terbatas,186575,17084,9.16%,2180,1938,12.76%,11.34%,6088,6848,2305,2056,168752450,135825400,13270913,12.72,10.23,7.86%,9.77%,N/A,N/A,N/A
12,NEWLAB 7D Pink Lip Serum  I Lipgloss Bening Lip Balm I Serum Bibir Pink Alami,Berjalan,16708474904,Iklan Pencarian Produk,Semua,22/04/2022 23:00,Tidak Terbatas,182088,13072,7.18%,963,862,7.37%,6.59%,7731,8637,1019,915,51134500,42377600,7445087,6.87,5.69,14.56%,17.57%,N/A,N/A,N/A
13,NEWLAB Obat Jerawat | Acne Serum | Acne Concealer | Acne Spot Treatment | Obat totol Jerawat | Penghilang Bekas Jerawat,Nonaktif,10284583816,Iklan Produk Serupa,Semua,01/12/2022 23:00,Tidak Terbatas,155115,1795,1.16%,96,50,5.35%,2.79%,21265,40828,100,50,9026900,3712400,2041407,4.42,1.82,22.61%,54.99%,N/A,N/A,N/A
14,NEWLAB Brightening Body Lotion AHA Wangi Baccarat + Black Opium | Lotion Pemutih Badan Extra Sunscreen | Lotion Serum AHA Penghilang Bekas Luka,Berjalan,11568964148,Iklan Pencarian Produk,Semua,07/06/2022 23:00,Tidak Terbatas,140703,7473,5.31%,384,277,5.14%,3.71%,11145,15450,411,296,34959000,21027500,4279768,8.17,4.91,12.24%,20.35%,N/A,N/A,N/A
15,Beaudelab Deluxe Pemutih Gigi Permanen | Teeth Whitening Kit | Alat Pemutih Gigi Cepat Lampu LED,Selesai,2243312460,Iklan Produk Serupa,Semua,22/02/2021 23:00,Tidak Terbatas,93658,991,1.06%,37,13,3.73%,1.31%,11233,31970,37,13,5402668,2525000,415611,13.0,6.08,7.69%,16.46%,N/A,N/A,N/A
16,NEWLAB Brightening Body Lotion AHA Wangi Baccarat + Black Opium | Lotion Pemutih Badan Extra Sunscreen | Lotion Serum AHA Penghilang Bekas Luka,Berjalan,11568964148,Iklan Produk Serupa,Semua,08/06/2022 00:00,Tidak Terbatas,74406,1557,2.09%,101,57,6.49%,3.66%,3804,6740,105,60,9352300,4245000,384205,24.34,11.05,4.11%,9.05%,N/A,N/A,N/A
17,NEWLAB Underarm Brightening Serum AHA | Pemutih Ketiak Selangkangan Instan Cepat| Penghilang Bekas Luka,Berjalan,13745120121,Iklan Produk Serupa,Semua,23/04/2022 00:00,Tidak Terbatas,65946,1723,2.61%,105,70,6.09%,4.06%,5019,7529,109,72,9181300,4751200,527024,17.42,9.02,5.74%,11.09%,N/A,N/A,N/A
18,Newlab Intensive Brightening Body Scrub + AHA | Pemutih Kulit Instan Cepat,Selesai,11668325587,Iklan Pencarian Produk,Semua,09/08/2022 23:00,Tidak Terbatas,57887,2358,4.07%,89,46,3.77%,1.95%,20174,39033,93,46,8524500,3322600,1795502,4.75,1.85,21.06%,54.04%,N/A,N/A,N/A
19,Collagen Beauty Drink,Nonaktif,N/A,Iklan Pencarian Toko,Semua,02/06/2021 23:00,Tidak Terbatas,46866,3965,8.46%,535,427,13.49%,10.77%,6921,8672,566,457,82958650,68905050,3702987,22.4,18.61,4.46%,5.37%,181776,4434,2.44%
20,NEWLAB Underarm Brightening Serum AHA | Pemutih Ketiak Selangkangan Instan Cepat| Penghilang Bekas Luka,Berjalan,13745120121,Iklan Pencarian Produk,Semua,22/04/2022 23:00,Tidak Terbatas,43354,2230,5.14%,137,98,6.14%,4.39%,9730,13603,141,102,11179100,6727600,1333071,8.39,5.05,11.92%,19.81%,N/A,N/A,N/A
21,Collagen Beli 2 Lebih Hemat,Berjalan,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,41004,3599,8.78%,591,477,16.42%,13.25%,5660,7013,630,506,95694800,76476800,3345068,28.61,22.86,3.50%,4.37%,169309,4301,2.54%
22,Beaudelab Deluxe Pemutih Gigi Permanen | Teeth Whitening Kit | Alat Pemutih Gigi Cepat Lampu LED,Selesai,2243312460,Iklan Pencarian Produk,Semua,25/02/2021 23:00,Tidak Terbatas,39136,3032,7.75%,172,118,5.67%,3.89%,9233,13458,176,121,29070000,23691000,1588037,18.31,14.92,5.46%,6.70%,N/A,N/A,N/A
23,Paket Bundling 1 | Slimming Package NEWLAB | Fiber DrinkNEWLAB | Fiber Rasa Coklat | SlimFazz Tea Drink | Teh Diet Detoks | Suplemen Pelangsing Herbal,Berjalan,20258891705,Iklan Pencarian Produk,Semua,10/12/2022 00:00,Tidak Terbatas,28880,1891,6.55%,334,66,17.66%,3.49%,8218,41589,356,71,48257650,15453000,2744860,17.58,5.63,5.69%,17.76%,N/A,N/A,N/A
24,NEWLAB Fiber Drink | Fiber Sayur & Buah Menyerap Minyak | Fiber Rasa Cokelat Pengganti Makan Malam & Pagi,Berjalan,19453415762,Iklan Pencarian Produk,Semua,03/12/2022 23:00,Tidak Terbatas,21024,1138,5.41%,45,26,3.95%,2.28%,17630,30514,46,27,6791300,3794300,793366,8.56,4.78,11.68%,20.91%,N/A,N/A,N/A
25,Paket Bundling 2 | Intensive Bright Package NEWLAB | Mini Collagen Beauty Drink | Minuman Kolagen Mini | Brightening Body Lotion AHA | Lotion Serum AHA | Lotion Pemutih Badan,Berjalan,20360946933,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,20948,984,4.70%,133,45,13.52%,4.57%,12114,35802,147,47,20700198,6891000,1611112,12.85,4.28,7.78%,23.38%,N/A,N/A,N/A
26,PAKET HEMAT 2 | Teh Diet Detoks | NEWLAB Slimlogy Tea Drink | Suplemen pelangsing herbal,Berjalan,9818514683,Iklan Pencarian Produk,Semua,10/12/2022 23:00,Tidak Terbatas,19703,1535,7.79%,261,204,17.00%,13.29%,2950,3775,277,214,35534850,29229550,770019,46.15,37.96,2.17%,2.63%,N/A,N/A,N/A
27,Beaudelab Official Store,Berjalan,N/A,Iklan Pencarian Toko,Semua,10/05/2021 23:00,Tidak Terbatas,18758,946,5.04%,129,98,13.64%,10.36%,6726,8854,132,99,13580349,9966900,867686,15.65,11.49,6.39%,8.71%,61436,921,1.50%
28,NEWLAB Acnalogy Powder Drink | Obat Minum Jerawat | Minuman Antioksidan | Penghilang Bekas Jerawat | Acne Treatment Drink,Berjalan,18956952418,Iklan Pencarian Produk,Semua,24/11/2022 23:00,Tidak Terbatas,18557,1812,9.76%,187,161,10.32%,8.89%,4003,4650,195,169,21897000,19335800,748604,29.25,25.83,3.42%,3.87%,N/A,N/A,N/A
29,Toko: Teeth Whitening,Nonaktif,N/A,Iklan Pencarian Toko,Semua,04/01/2022 23:00,Tidak Terbatas,14407,628,4.36%,47,30,7.48%,4.78%,7156,11211,47,30,6707800,4381800,336341,19.94,13.03,5.01%,7.68%,48966,460,0.94%
30,PAKET HEMAT 2 | Newlab Professional Teeth Whitening Pen | Professional Pen Pemutih Gigi,Nonaktif,7880481064,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,11450,751,6.56%,53,17,7.06%,2.26%,6634,20682,57,18,6326400,1559400,351589,17.99,4.44,5.56%,22.55%,N/A,N/A,N/A
31,Detox Beli 2 Lebih Hemat,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,1964,85,4.33%,7,3,8.24%,3.53%,11581,27023,7,3,680900,259000,81069,8.4,3.19,11.91%,31.30%,6529,58,0.89%
32,LIP SERUM,Nonaktif,N/A,Iklan Pencarian Toko,Semua,05/05/2022 23:00,Tidak Terbatas,1936,93,4.80%,14,12,15.05%,12.90%,3162,3689,14,12,932200,842800,44267,21.06,19.04,4.75%,5.25%,6420,75,1.17%
33,Acne,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,483,67,13.87%,14,13,20.90%,19.40%,1432,1543,14,13,1290500,1175500,20055,64.35,58.61,1.55%,1.71%,2679,116,4.33%
34,EYELASH,Nonaktif,N/A,Iklan Pencarian Toko,Semua,01/06/2021 23:00,Tidak Terbatas,240,13,5.42%,1,1,7.69%,7.69%,5402,5402,1,1,65000,65000,5402,12.03,12.03,8.31%,8.31%,691,14,2.03%
35,UNDERARM,Nonaktif,N/A,Iklan Pencarian Toko,Semua,05/05/2022 23:00,Tidak Terbatas,127,7,5.51%,1,0,14.29%,0.00%,2070,0,1,0,63400,0,2070,30.63,0.0,3.26%,0.00%,342,0,0.00%
36,Fiber,Nonaktif,N/A,Iklan Pencarian Toko,Semua,03/12/2022 23:00,Tidak Terbatas,71,5,7.04%,0,0,0.00%,0.00%,0,0,0,0,0,0,2375,0.0,0.0,0.00%,0.00%,214,5,2.34%
37,slimming,Nonaktif,N/A,Iklan Pencarian Toko,Semua,12/05/2021 23:00,Tidak Terbatas,47,2,4.26%,0,0,0.00%,0.00%,0,0,0,0,0,0,585,0.0,0.0,0.00%,0.00%,114,1,0.88%
38,Bundling Slimming Pack,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,16,2,12.50%,1,1,50.00%,50.00%,1000,1000,1,1,130450,130450,1000,130.45,130.45,0.77%,0.77%,83,7,8.43%
39,Bye Acne Package│Mini Acnalogy Powder Drink + Anti Acne Lotion,Nonaktif,22340218198,Iklan Produk Serupa,Semua,08/05/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
40,Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Nonaktif,5017279672,Iklan Produk Serupa,Semua,01/04/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
41,Paket Insentive Bright Care 2 | Brightlogy Collagen Powder Drink Mini dan Brightlogy Brightening Underarm Serum + AHA,Nonaktif,23436887327,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
42,NEWLAB Intensive Brightening Body Wash + AHA | Sabun Pemutih Kulit dengan Parfum,Nonaktif,18773652241,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
43,PAKET HEMAT 2 | Newlab Professional Teeth Whitening Pen | Professional Pen Pemutih Gigi,Nonaktif,7880481064,Iklan Produk Serupa,Semua,12/12/2022 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
44,PACKAGE - NEWLAB Body Whitening Set | Body Lotion AHA + Body Scrub + Brightening Serum AHA,Selesai,20306949623,Iklan Pencarian Produk,Semua,26/09/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
45,NEWLAB Professional Teeth Whitening Pen BPOM | Professional Pen Pemutih Gigi,Berjalan,2243277078,Iklan Produk Serupa,Semua,01/04/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
46,PAKET HEMAT 2 | Acne No More Package│2 Acnalogy Powder Drink,Berjalan,16094408385,Iklan Produk Serupa,Semua,08/05/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
47,NEWLAB Obat Jerawat | Acne Serum | Acne Concealer | Acne Spot Treatment | Obat totol Jerawat | Penghilang Bekas Jerawat,Berjalan,10284583816,Iklan Pencarian Produk,Semua,05/05/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
48,Serum Bulu Mata BPOM | NEWLAB Penumbuh Alis & Bulu Mata Cepat Instant | Eyelash Extension & Brow Growth Serum | Non Oil Eyelash Serum Water based Serum,Berjalan,5339709552,Iklan Pencarian Produk,Semua,07/03/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
49,Serum Bulu Mata BPOM | NEWLAB Penumbuh Alis & Bulu Mata Cepat Instant | Eyelash Extension & Brow Growth Serum | Non Oil Eyelash Serum Water based Serum,Berjalan,5339709552,Iklan Produk Serupa,Semua,05/12/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
50,Bye Acne Package│Mini Acnalogy Powder Drink + Anti Acne Lotion,Berjalan,22340218198,Iklan Pencarian Produk,Semua,07/05/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
51,Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Berjalan,5017279672,Iklan Pencarian Produk,Semua,01/04/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
52,Paket Insentive Bright Care 3 | Brightlogy Collagen Powder Drink Mini dan Beaudelab Intensive Brightening Body Scrub + AHA,Selesai,18777810470,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
53,Paket Insentive Bright Care 3 | Brightlogy Collagen Powder Drink Mini dan Beaudelab Intensive Brightening Body Scrub + AHA,Selesai,18777810470,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
54,Newlab Intensive Brightening Body Scrub + AHA | Pemutih Kulit Instan Cepat,Selesai,11668325587,Iklan Produk Serupa,Semua,10/08/2022 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
55,PAKET HEMAT 2 | Acne No More Package│2 Acnalogy Powder Drink,Berjalan,16094408385,Iklan Pencarian Produk,Semua,07/05/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
56,TEH DIET DETOKS | NEWLAB Slimlogy Tea Drink | Suplemen pelangsing herbal | Makanan diet,Nonaktif,6131697514,Iklan Produk Serupa,Semua,26/02/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
57,PAKET HEMAT 2 | Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Nonaktif,4580513269,Iklan Pencarian Produk,Semua,22/09/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
58,PAKET HEMAT 2 | Serum Bulu Mata Bpom | NEWLAB Penumbuh Alis & Bulu Mata Cepat & Instant | Eyelash Extension & Brow Serum | Non Oil Serum Water based Serum,Nonaktif,10149733337,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
59,Paket Insentive Bright Care 2 | Brightlogy Collagen Powder Drink Mini dan Brightlogy Brightening Underarm Serum + AHA,Nonaktif,23436887327,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
60,Paket Insentive Bright Care 1 | Brightlogy Collagen Powder Drink Mini dan Body Wash + AHA,Nonaktif,22536841519,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
61,Paket Bundling 1 | Slimming Package NEWLAB | Fiber DrinkNEWLAB | Fiber Rasa Coklat | SlimFazz Tea Drink | Teh Diet Detoks | Suplemen Pelangsing Herbal,Nonaktif,20258891705,Iklan Produk Serupa,Semua,09/12/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
62,PAKET HEMAT 2 | Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Nonaktif,4580513269,Iklan Produk Serupa,Semua,23/09/2022 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
63,PAKET HEMAT 2 | Serum Bulu Mata Bpom | NEWLAB Penumbuh Alis & Bulu Mata Cepat & Instant | Eyelash Extension & Brow Serum | Non Oil Serum Water based Serum,Nonaktif,10149733337,Iklan Produk Serupa,Semua,19/10/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
64,Paket Insentive Bright Care 1 | Brightlogy Collagen Powder Drink Mini dan Body Wash + AHA,Berjalan,22536841519,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
65,NEWLAB Professional Teeth Whitening Pen BPOM | Professional Pen Pemutih Gigi,Berjalan,2243277078,Iklan Pencarian Produk,Semua,01/04/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
66,[SPECIAL THR] Acnalogy Powder Drink | Obat Minum Jerawat | Minuman Antioksidan,Selesai,23436622751,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
67,[SPECIAL THR] Acnalogy Powder Drink | Obat Minum Jerawat | Minuman Antioksidan,Selesai,23436622751,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
68,[SPECIAL THR] TEH DIET DETOKS | Beaudelab SlimFazz Tea Drink | Suplemen pelangsing herbal | Makanan diet,Selesai,19177793247,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
69,[SPECIAL THR] TEH DIET DETOKS | Beaudelab SlimFazz Tea Drink | Suplemen pelangsing herbal | Makanan diet,Selesai,19177793247,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
70,[SPECIAL THR] Brightlogy Collagen Powder Drink | Minuman Kolagen Pemutih Badan Cepat | Beaudelab Premium Collagen Drink,Selesai,16094000261,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
71,[SPECIAL THR] Brightlogy Collagen Powder Drink | Minuman Kolagen Pemutih Badan Cepat | Beaudelab Premium Collagen Drink,Selesai,16094000261,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
72,Promo 12.12 Collagen,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,0,0,0.00%
73,Eyelash Serum,Nonaktif,N/A,Iklan Pencarian Toko,Semua,08/07/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,0,0,0.00%
74,Body Lotion,Nonaktif,N/A,Iklan Pencarian Toko,Semua,07/06/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,0,0,0.00%
75,[Gift-Not For Sale] Body Scrub,Selesai,22908039340,Iklan Pencarian Produk,Semua,10/12/2022 00:00,10/12/2022 13:18,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
76,[Gift-Not For Sale] Body Scrub,Selesai,22908039340,Iklan Produk Serupa,Semua,09/12/2022 23:00,11/12/2022 12:58,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
